condition,subgroup,additive_r,gears_r,additive_mse,gears_mse,non_additivity,improvement
CEBPB+CEBPA,combo_seen1,0.9883285,0.9752348065376282,0.1280640661716461,0.041928038001060486,0.6327634453773499,-0.01309369346237188
ETS2+CNN1,combo_seen2,0.9922815,0.9390431046485901,0.0120371170341968,0.08707952499389648,0.5979396104812622,-0.05323839535140995
CNN1+MAPK1,combo_seen2,0.983661,0.9106366634368896,0.0243667718023061,0.12948882579803467,0.627466082572937,-0.07302433656311036
FOXL2+MEIS1,combo_seen0,0.9992242,0.9883735179901123,0.0061997193843126,0.08127029240131378,0.4155087471008301,-0.010850682009887702
FOSB+CEBPE,combo_seen2,0.97849286,0.879535973072052,0.0538534224033355,0.30067601799964905,0.3692201673984527,-0.09895688692794802
PTPN12+PTPN9,combo_seen1,0.9945114,0.9839730262756348,0.0303579624742269,0.07643405348062515,0.355335921049118,-0.01053837372436528
FOSB+CEBPB,combo_seen1,0.9914621,0.9471550583839417,0.0164341162890195,0.12216134369373322,0.4581378102302551,-0.04430704161605836
BCL2L11+BAK1,combo_seen1,0.9987381,0.9678589701652527,0.00470537180081,0.0068679191172122955,1.0602022409439087,-0.030879129834747276
FOXA3+HOXB9,combo_seen2,0.99142784,0.982433557510376,0.0314080156385898,0.0734800174832344,0.3700225055217743,-0.008994282489623973
CEBPE+CNN1,combo_seen2,0.98469985,0.9362512826919556,0.0427652150392532,0.17766019701957703,0.8786506652832031,-0.04844856730804448
ZC3HAV1+HOXC13,combo_seen2,0.9958935,0.9806355237960815,0.0189075656235218,0.07945417612791061,0.6816340684890747,-0.015257976203918444
CBL+CNN1,combo_seen1,0.97059405,0.9411671757698059,0.1594479978084564,0.4186569154262543,0.4429654777050018,-0.029426874230194078
ZBTB10+PTPN12,combo_seen1,0.9980135,0.986697256565094,0.0102874767035245,0.0777868777513504,0.4858331382274627,-0.011316243434906004
CBL+UBASH3B,combo_seen1,0.96436167,0.918708086013794,0.1930482685565948,0.3744797110557556,0.4507291615009308,-0.045653583986206
CEBPB+PTPN12,combo_seen1,0.99522597,0.9699605107307434,0.018229866400361,0.17629127204418182,0.8136352300643921,-0.025265459269256607
